CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1991-11-20,46,44,41,45,36,28,93,73,54,30.11,30.03,29.93,20,12,2,15,11,,0.10,7,Fog-Rain,14
1991-11-21,53,42,32,35,32,29,96,69,42,30.09,30.05,29.98,20,15,3,10,4,,0.00,1,,220
1991-11-22,51,41,31,43,38,31,100,85,56,30.02,30.00,29.97,20,7,0,12,6,,0.00,4,Fog,200
1991-11-23,46,36,24,43,30,18,93,80,66,29.93,29.77,29.70,10,6,1,29,16,34,0.00,8,Fog-Rain-Snow,213
1991-11-24,27,24,21,22,20,14,91,81,71,30.14,29.93,29.75,15,7,4,23,19,,0.10,8,Fog-Snow,269
1991-11-25,23,20,16,13,11,10,81,71,60,30.35,30.27,30.14,20,14,10,15,11,,0.00,1,,287
1991-11-26,35,24,13,21,15,9,88,69,46,30.38,30.28,30.05,15,14,10,21,9,30,0.00,4,,205
1991-11-27,43,39,35,36,32,24,93,77,55,30.16,30.01,29.84,15,8,4,23,20,29,0.20,7,Fog-Rain,241
1991-11-28,39,36,36,37,35,32,97,90,79,30.20,30.10,29.96,10,6,2,20,10,,0.40,8,Fog-Rain,42
1991-11-29,61,50,39,55,47,37,100,87,70,29.97,29.85,29.57,15,7,2,23,10,29,0.30,8,Fog-Rain,176
1991-11-30,62,46,29,56,34,22,90,71,53,30.28,29.89,29.47,20,15,4,29,22,39,0.00,7,Rain,255
1991-12-1,32,28,24,20,17,12,81,63,46,30.34,30.26,30.20,20,13,10,12,8,,0.00,6,,280
1991-12-2,34,32,29,30,24,14,96,75,54,30.23,30.01,29.68,15,8,0,18,12,,0.40,7,Rain-Snow,45
1991-12-3,31,23,15,29,21,11,96,87,81,29.87,29.77,29.64,10,4,1,21,14,,0.00,8,Fog-Snow,277
1991-12-4,13,8,3,10,1,-2,88,78,70,30.34,30.20,29.91,20,11,2,21,17,26,0.00,5,Fog-Snow,267
1991-12-5,37,22,8,30,15,1,84,76,69,30.35,30.09,29.84,15,10,4,23,12,32,0.00,8,Snow,232
1991-12-6,39,24,11,34,16,5,83,73,53,30.24,30.10,29.83,15,10,8,18,12,,0.00,4,,229
1991-12-7,50,46,41,47,42,32,96,88,70,29.87,29.83,29.76,10,6,3,21,14,,0.00,8,Fog,219
1991-12-8,61,52,41,59,49,35,96,87,68,29.96,29.77,29.65,10,7,3,23,13,29,0.10,6,Fog-Rain,233
1991-12-9,41,37,33,35,33,30,96,87,73,30.11,30.06,30.00,10,7,3,12,7,,0.00,3,Fog,274
1991-12-10,48,39,30,38,33,29,100,82,59,30.12,30.07,29.99,20,13,1,18,9,25,0.00,2,Fog,224
1991-12-11,46,42,37,37,35,32,93,80,56,30.20,30.15,30.00,20,11,5,12,8,,0.00,3,Fog,61
1991-12-12,61,50,39,56,45,32,97,84,45,30.12,29.75,29.51,20,8,2,26,14,46,0.40,8,Fog-Rain,200
1991-12-13,46,40,35,39,34,32,93,83,71,30.00,29.92,29.79,10,6,3,15,8,,0.00,6,Fog,275
1991-12-14,37,30,24,36,18,10,93,63,51,30.28,30.06,29.83,20,14,2,34,19,46,0.00,4,Fog-Rain,271
1991-12-15,30,22,11,25,10,0,88,61,46,30.42,30.25,30.09,20,16,2,23,16,32,0.00,3,Fog-Snow,277
1991-12-16,37,24,11,29,15,1,82,62,50,30.40,30.16,29.94,20,17,10,18,9,,0.00,5,,225
1991-12-17,36,32,28,29,22,13,89,66,45,30.25,30.03,29.85,20,15,10,26,14,29,0.00,3,,273
1991-12-18,25,20,15,11,5,-3,68,53,40,30.77,30.57,30.28,20,20,20,18,14,,0.00,2,,330
